STORE,UPC,_FREQ_,_STAT_,MOVE,category,SALE,OK,PRICE,QTY,date,acf_lag1,SaleDummy,SaleBS,Coupon,Buy,Simple,Move1,logMove1
86,4640055081,153,MEAN,3,Soft Drinks,M,1,0.99,1,24NOV1991,-0.227812777,0,0,0,0,0,4,1.3862943611
86,4640055081,153,MEAN,4,Soft Drinks,B,1,0.99,1,01DEC1991,-0.227812777,1,1,0,1,0,5,1.6094379124
86,4640055081,153,MEAN,17,Soft Drinks,B,1,0.99,1,08DEC1991,-0.227812777,1,1,0,1,0,18,2.8903717579
86,4640055081,153,MEAN,12,Soft Drinks,S,1,0.89,1,15DEC1991,-0.227812777,1,1,0,0,1,13,2.5649493575
86,4640055081,153,MEAN,8,Soft Drinks,B,1,0.89,1,22DEC1991,-0.227812777,1,1,0,1,0,9,2.1972245773
86,4640055081,153,MEAN,10,Soft Drinks,B,1,0.99,1,29DEC1991,-0.227812777,1,1,0,1,0,11,2.3978952728
86,4640055081,153,MEAN,5,Soft Drinks,B,1,1.09,1,05JAN1992,-0.227812777,1,1,0,1,0,6,1.7917594692
86,4640055081,153,MEAN,29,Soft Drinks,M,1,0.89,1,12JAN1992,-0.227812777,0,0,0,0,0,30,3.4011973817
86,4640055081,153,MEAN,1,Soft Drinks,M,1,1.09,1,19JAN1992,-0.227812777,0,0,0,0,0,2,0.6931471806
86,4640055081,153,MEAN,2,Soft Drinks,B,1,1.09,1,26JAN1992,-0.227812777,1,1,0,1,0,3,1.0986122887
86,4640055081,153,MEAN,6,Soft Drinks,B,1,1.09,1,02FEB1992,-0.227812777,1,1,0,1,0,7,1.9459101491
86,4640055081,153,MEAN,1,Soft Drinks,B,1,1.09,1,09FEB1992,-0.227812777,1,1,0,1,0,2,0.6931471806
86,4640055081,153,MEAN,14,Soft Drinks,S,1,0.89,1,16FEB1992,-0.227812777,1,1,0,0,1,15,2.7080502011
86,4640055081,153,MEAN,2,Soft Drinks,S,1,1.09,1,23FEB1992,-0.227812777,1,1,0,0,1,3,1.0986122887
86,4640055081,153,MEAN,12,Soft Drinks,M,1,1.09,1,01MAR1992,-0.227812777,0,0,0,0,0,13,2.5649493575
86,4640055081,153,MEAN,3,Soft Drinks,M,1,1.09,1,08MAR1992,-0.227812777,0,0,0,0,0,4,1.3862943611
86,4640055081,153,MEAN,19,Soft Drinks,S,1,0.89,1,15MAR1992,-0.227812777,1,1,0,0,1,20,2.9957322736
86,4640055081,153,MEAN,15,Soft Drinks,B,1,1.09,1,22MAR1992,-0.227812777,1,1,0,1,0,16,2.7725887222
86,4640055081,153,MEAN,14,Soft Drinks,S,1,0.89,1,29MAR1992,-0.227812777,1,1,0,0,1,15,2.7080502011
86,4640055081,153,MEAN,7,Soft Drinks,M,1,1.19,1,05APR1992,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,27,Soft Drinks,S,1,0.89,1,12APR1992,-0.227812777,1,1,0,0,1,28,3.3322045102
86,4640055081,153,MEAN,6,Soft Drinks,M,1,0.99,1,19APR1992,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,26,Soft Drinks,S,1,0.89,1,26APR1992,-0.227812777,1,1,0,0,1,27,3.295836866
86,4640055081,153,MEAN,15,Soft Drinks,B,1,0.99,1,03MAY1992,-0.227812777,1,1,0,1,0,16,2.7725887222
86,4640055081,153,MEAN,20,Soft Drinks,M,1,0.99,1,10MAY1992,-0.227812777,0,0,0,0,0,21,3.0445224377
86,4640055081,153,MEAN,18,Soft Drinks,S,1,0.89,1,17MAY1992,-0.227812777,1,1,0,0,1,19,2.9444389792
86,4640055081,153,MEAN,6,Soft Drinks,M,1,0.99,1,24MAY1992,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,7,Soft Drinks,M,1,1.19,1,31MAY1992,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,5,Soft Drinks,M,1,1.19,1,07JUN1992,-0.227812777,0,0,0,0,0,6,1.7917594692
86,4640055081,153,MEAN,4,Soft Drinks,M,1,1.19,1,14JUN1992,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,11,Soft Drinks,M,1,1.19,1,21JUN1992,-0.227812777,0,0,0,0,0,12,2.4849066498
86,4640055081,153,MEAN,20,Soft Drinks,S,1,0.79,1,28JUN1992,-0.227812777,1,1,0,0,1,21,3.0445224377
86,4640055081,153,MEAN,2,Soft Drinks,S,1,1.19,1,05JUL1992,-0.227812777,1,1,0,0,1,3,1.0986122887
86,4640055081,153,MEAN,7,Soft Drinks,M,1,1.19,1,12JUL1992,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,9,Soft Drinks,S,1,0.99,1,19JUL1992,-0.227812777,1,1,0,0,1,10,2.302585093
86,4640055081,153,MEAN,2,Soft Drinks,M,1,0.99,1,26JUL1992,-0.227812777,0,0,0,0,0,3,1.0986122887
86,4640055081,153,MEAN,13,Soft Drinks,S,1,0.99,1,02AUG1992,-0.227812777,1,1,0,0,1,14,2.6390573296
86,4640055081,153,MEAN,7,Soft Drinks,S,1,0.89,1,09AUG1992,-0.227812777,1,1,0,0,1,8,2.0794415417
86,4640055081,153,MEAN,15,Soft Drinks,B,1,0.99,1,16AUG1992,-0.227812777,1,1,0,1,0,16,2.7725887222
86,4640055081,153,MEAN,6,Soft Drinks,B,1,0.99,1,23AUG1992,-0.227812777,1,1,0,1,0,7,1.9459101491
86,4640055081,153,MEAN,32,Soft Drinks,S,1,0.89,1,30AUG1992,-0.227812777,1,1,0,0,1,33,3.4965075615
86,4640055081,153,MEAN,13,Soft Drinks,B,1,0.99,1,06SEP1992,-0.227812777,1,1,0,1,0,14,2.6390573296
86,4640055081,153,MEAN,25,Soft Drinks,B,1,0.99,1,13SEP1992,-0.227812777,1,1,0,1,0,26,3.258096538
86,4640055081,153,MEAN,26,Soft Drinks,M,1,0.89,1,20SEP1992,-0.227812777,0,0,0,0,0,27,3.295836866
86,4640055081,153,MEAN,12,Soft Drinks,B,1,0.99,1,27SEP1992,-0.227812777,1,1,0,1,0,13,2.5649493575
86,4640055081,153,MEAN,21,Soft Drinks,S,1,0.89,1,04OCT1992,-0.227812777,1,1,0,0,1,22,3.0910424534
86,4640055081,153,MEAN,6,Soft Drinks,M,1,1.19,1,11OCT1992,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,9,Soft Drinks,M,1,0.99,1,18OCT1992,-0.227812777,0,0,0,0,0,10,2.302585093
86,4640055081,153,MEAN,10,Soft Drinks,C,1,0.99,1,25OCT1992,-0.227812777,1,0,1,0,0,11,2.3978952728
86,4640055081,153,MEAN,6,Soft Drinks,M,1,0.99,1,01NOV1992,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,29,Soft Drinks,M,1,0.79,1,08NOV1992,-0.227812777,0,0,0,0,0,30,3.4011973817
86,4640055081,153,MEAN,17,Soft Drinks,S,1,0.79,1,15NOV1992,-0.227812777,1,1,0,0,1,18,2.8903717579
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,22NOV1992,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,21,Soft Drinks,M,1,0.89,1,29NOV1992,-0.227812777,0,0,0,0,0,22,3.0910424534
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,06DEC1992,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,15,Soft Drinks,B,1,0.89,1,13DEC1992,-0.227812777,1,1,0,1,0,16,2.7725887222
86,4640055081,153,MEAN,13,Soft Drinks,B,1,0.89,1,20DEC1992,-0.227812777,1,1,0,1,0,14,2.6390573296
86,4640055081,153,MEAN,16,Soft Drinks,B,1,0.89,1,27DEC1992,-0.227812777,1,1,0,1,0,17,2.8332133441
86,4640055081,153,MEAN,6,Soft Drinks,M,1,0.99,1,03JAN1993,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,10,Soft Drinks,C,1,0.99,1,10JAN1993,-0.227812777,1,0,1,0,0,11,2.3978952728
86,4640055081,153,MEAN,27,Soft Drinks,S,1,0.89,1,17JAN1993,-0.227812777,1,1,0,0,1,28,3.3322045102
86,4640055081,153,MEAN,5,Soft Drinks,M,1,0.99,1,24JAN1993,-0.227812777,0,0,0,0,0,6,1.7917594692
86,4640055081,153,MEAN,29,Soft Drinks,S,1,0.89,1,31JAN1993,-0.227812777,1,1,0,0,1,30,3.4011973817
86,4640055081,153,MEAN,11,Soft Drinks,M,1,0.99,1,07FEB1993,-0.227812777,0,0,0,0,0,12,2.4849066498
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,14FEB1993,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,14,Soft Drinks,M,1,0.99,1,21FEB1993,-0.227812777,0,0,0,0,0,15,2.7080502011
86,4640055081,153,MEAN,11,Soft Drinks,S,1,0.89,1,28FEB1993,-0.227812777,1,1,0,0,1,12,2.4849066498
86,4640055081,153,MEAN,18,Soft Drinks,M,1,0.99,1,07MAR1993,-0.227812777,0,0,0,0,0,19,2.9444389792
86,4640055081,153,MEAN,7,Soft Drinks,M,1,0.99,1,14MAR1993,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,35,Soft Drinks,S,1,0.89,1,21MAR1993,-0.227812777,1,1,0,0,1,36,3.5835189385
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,28MAR1993,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,33,Soft Drinks,S,1,0.89,1,04APR1993,-0.227812777,1,1,0,0,1,34,3.5263605246
86,4640055081,153,MEAN,7,Soft Drinks,M,1,0.99,1,11APR1993,-0.227812777,0,0,0,0,0,8,2.0794415417
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,18APR1993,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,17,Soft Drinks,M,1,0.99,1,25APR1993,-0.227812777,0,0,0,0,0,18,2.8903717579
86,4640055081,153,MEAN,17,Soft Drinks,M,1,0.89,1,02MAY1993,-0.227812777,0,0,0,0,0,18,2.8903717579
86,4640055081,153,MEAN,10,Soft Drinks,S,1,0.99,1,09MAY1993,-0.227812777,1,1,0,0,1,11,2.3978952728
86,4640055081,153,MEAN,13,Soft Drinks,M,1,0.99,1,16MAY1993,-0.227812777,0,0,0,0,0,14,2.6390573296
86,4640055081,153,MEAN,11,Soft Drinks,S,1,0.89,1,23MAY1993,-0.227812777,1,1,0,0,1,12,2.4849066498
86,4640055081,153,MEAN,8,Soft Drinks,S,1,0.89,1,30MAY1993,-0.227812777,1,1,0,0,1,9,2.1972245773
86,4640055081,153,MEAN,8,Soft Drinks,M,1,0.99,1,06JUN1993,-0.227812777,0,0,0,0,0,9,2.1972245773
86,4640055081,153,MEAN,42,Soft Drinks,S,1,0.79,1,13JUN1993,-0.227812777,1,1,0,0,1,43,3.7612001157
86,4640055081,153,MEAN,28,Soft Drinks,S,1,0.89,1,20JUN1993,-0.227812777,1,1,0,0,1,29,3.36729583
86,4640055081,153,MEAN,11,Soft Drinks,M,1,0.99,1,27JUN1993,-0.227812777,0,0,0,0,0,12,2.4849066498
86,4640055081,153,MEAN,5,Soft Drinks,M,1,0.99,1,04JUL1993,-0.227812777,0,0,0,0,0,6,1.7917594692
86,4640055081,153,MEAN,21,Soft Drinks,S,1,0.89,1,11JUL1993,-0.227812777,1,1,0,0,1,22,3.0910424534
86,4640055081,153,MEAN,12,Soft Drinks,M,1,0.99,1,18JUL1993,-0.227812777,0,0,0,0,0,13,2.5649493575
86,4640055081,153,MEAN,24,Soft Drinks,M,1,0.99,1,25JUL1993,-0.227812777,0,0,0,0,0,25,3.2188758249
86,4640055081,153,MEAN,21,Soft Drinks,M,1,0.99,1,01AUG1993,-0.227812777,0,0,0,0,0,22,3.0910424534
86,4640055081,153,MEAN,4,Soft Drinks,M,1,0.99,1,08AUG1993,-0.227812777,0,0,0,0,0,5,1.6094379124
86,4640055081,153,MEAN,11,Soft Drinks,M,1,0.99,1,15AUG1993,-0.227812777,0,0,0,0,0,12,2.4849066498
86,4640055081,153,MEAN,18,Soft Drinks,S,1,0.89,1,22AUG1993,-0.227812777,1,1,0,0,1,19,2.9444389792
86,4640055081,153,MEAN,8,Soft Drinks,M,1,0.91,1,29AUG1993,-0.227812777,0,0,0,0,0,9,2.1972245773
86,4640055081,153,MEAN,8,Soft Drinks,M,1,0.99,1,05SEP1993,-0.227812777,0,0,0,0,0,9,2.1972245773
86,4640055081,153,MEAN,12,Soft Drinks,M,1,0.99,1,12SEP1993,-0.227812777,0,0,0,0,0,13,2.5649493575
86,4640055081,153,MEAN,12,Soft Drinks,M,1,0.99,1,19SEP1993,-0.227812777,0,0,0,0,0,13,2.5649493575
86,4640055081,153,MEAN,14,Soft Drinks,M,1,0.99,1,26SEP1993,-0.227812777,0,0,0,0,0,15,2.7080502011
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,03OCT1993,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,13,Soft Drinks,M,1,0.99,1,10OCT1993,-0.227812777,0,0,0,0,0,14,2.6390573296
86,4640055081,153,MEAN,13,Soft Drinks,M,1,0.99,1,17OCT1993,-0.227812777,0,0,0,0,0,14,2.6390573296
86,4640055081,153,MEAN,11,Soft Drinks,M,1,0.99,1,24OCT1993,-0.227812777,0,0,0,0,0,12,2.4849066498
86,4640055081,153,MEAN,9,Soft Drinks,M,1,0.99,1,31OCT1993,-0.227812777,0,0,0,0,0,10,2.302585093
86,4640055081,153,MEAN,6,Soft Drinks,M,1,0.99,1,07NOV1993,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,0,Soft Drinks,M,0,0,1,14NOV1993,-0.227812777,0,0,0,0,0,1,0
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,21NOV1993,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,9,Soft Drinks,S,1,0.89,1,28NOV1993,-0.227812777,1,1,0,0,1,10,2.302585093
86,4640055081,153,MEAN,9,Soft Drinks,M,1,0.99,1,05DEC1993,-0.227812777,0,0,0,0,0,10,2.302585093
86,4640055081,153,MEAN,15,Soft Drinks,M,1,0.99,1,12DEC1993,-0.227812777,0,0,0,0,0,16,2.7725887222
86,4640055081,153,MEAN,6,Soft Drinks,M,1,0.99,1,19DEC1993,-0.227812777,0,0,0,0,0,7,1.9459101491
86,4640055081,153,MEAN,15,Soft Drinks,M,1,0.75,1,26DEC1993,-0.227812777,0,0,0,0,0,16,2.7725887222
86,4640055081,153,MEAN,10,Soft Drinks,M,1,0.99,1,02JAN1994,-0.227812777,0,0,0,0,0,11,2.3978952728
86,4640055081,153,MEAN,8,Soft Drinks,M,1,0.99,1,09JAN1994,-0.227812777,0,0,0,0,0,9,2.1972245773
86,4640055081,153,MEAN,20,Soft Drinks,M,1,0.99,1,16JAN1994,-0.227812777,0,0,0,0,0,21,3.0445224377
86,4640055081,153,MEAN,13,Soft Drinks,S,1,0.89,1,23JAN1994,-0.227812777,1,1,0,0,1,14,2.6390573296
86,4640055081,153,MEAN,22,Soft Drinks,M,1,0.99,1,30JAN1994,-0.227812777,0,0,0,0,0,23,3.1354942159
